Location Name	Latitude	Longtitude	Volume	Location Type
Hải Phòng	20.8	106.6667	67149543.23	Supply
TP. Hồ Chí Minh	10.8167	106.6333	326650036.09	Supply
Hà Nội	21.0245	105.8412	238705795.60	Demand
Bắc Ninh	21.1861	106.0763	26209983.00	Demand
Vĩnh Phúc	21.31	105.5967	26426594.43	Demand
Hải Dương	20.9411	106.3331	25993371.57	Demand
Quảng Ninh	20.95	107.0833	54152857.44	Demand
Nghệ An	18.6733	105.6922	35740885.91	Demand
Thanh Hóa	19.8075	105.7764	54586080.30	Demand
Đắk Lắk	12.6667	108.05	33358160.18	Demand
Khánh Hòa	12.25	109.1833	36390720.20	Demand
Gia Lai	13.9833	108	22744200.13	Demand
Đà Nẵng	16.0748	108.224	38123611.64	Demand
Bình Định	13.7765	109.2237	33574771.61	Demand
Quảng Ngãi	15.1206	108.7922	24043868.70	Demand
Bình Dương	11.0042	106.6583	72348217.54	Demand
Tây Ninh	11.3131	106.0963	34657828.76	Demand
Bà Rịa - Vũng Tàu	10.4042	107.1417	33791383.04	Demand
Lâm Đồng	11.9359	108.4429	21661142.98	Demand
Bình Thuận	10.9375	108.1583	28592708.73	Demand
Bình Phước	11.6504	106.6	21661142.98	Demand
Đồng Tháp	10.4603	105.6331	42672451.66	Demand
Tiền Giang	10.35	106.35	29242543.02	Demand
Sóc Trăng	9.6	105.9719	34441217.33	Demand
An Giang	10.7	105.1167	35740885.91	Demand
Cần Thơ	10.0333	105.7833	43755508.81	Demand
Kiên Giang	10.2289	103.9572	48954183.13	Demand
Bạc Liêu	9.2833	105.7167	30108988.74	Demand
Cà Mau	9.1833	105.15	28809320.16	Demand
Long An	10.5322	106.4042	30542211.60	Demand
Đồng Nai	10.9575	106.8426	84045234.75	Demand
Bình Dương	11.0042	106.6583		Candidate
Bắc Ninh	21.1861	106.0763		Candidate
Long An	10.5322	106.4042		Candidate
TP. Hồ Chí Minh	10.8167	106.6333		Candidate
Hà Nội	21.0245	105.8412		Candidate
